File:;C:\Users\Korinek\BP dvorak\QHA_LH_m45deg_pol.NSI;;
Data Type:;Far Field;;
Polarization:;E-principal;;
;;;
Frequency (GHz);;0.8695;0.8695
Theta (deg);Phi (deg);Amp (dB);
-45;71;-2.84664154052734;-122.949157714844
-45;72;-2.84877395629883;-124.261672973633
-45;73;-2.85119247436523;-125.605842590332
-45;74;-2.8613166809082;-126.973625183105
-45;75;-2.85708999633789;-128.309631347656
-45;76;-2.85370254516602;-129.689193725586
-45;77;-2.84421157836914;-130.944229125977
-45;78;-2.83470153808594;-132.303939819336
-45;79;-2.82673263549805;-133.646911621094
-45;80;-2.81313705444336;-135.004898071289
-45;81;-2.8157958984375;-136.332580566406
-45;82;-2.83089065551758;-137.888977050781
-45;83;-2.86198806762695;-139.706100463867
-45;84;-2.83261108398437;-141.655151367187
-45;85;-2.81429672241211;-143.223190307617
-45;86;-2.79632568359375;-144.63134765625
-45;87;-2.72986221313477;-146.093765258789
-45;88;-2.68785858154297;-147.369277954102
-45;89;-2.6629524230957;-148.660461425781
-45;90;-2.61155700683594;-149.864166259766
-45;91;-2.58383178710937;-151.139129638672
-45;92;-2.54347991943359;-152.316757202148
-45;93;-2.5074577331543;-153.506240844727
-45;94;-2.46393203735352;-154.735382080078
-45;95;-2.41965103149414;-155.993377685547
-45;96;-2.37394332885742;-157.133392333984
-45;97;-2.34047698974609;-158.205291748047
-45;98;-2.29658126831055;-159.437347412109
-45;99;-2.26004791259766;-160.602432250977
-45;100;-2.20683288574219;-161.741455078125
-45;101;-2.18431854248047;-162.82666015625
-45;102;-2.12311935424805;-163.88264465332
-45;103;-2.08354568481445;-164.994003295898
-45;104;-2.03579711914062;-166.107894897461
-45;105;-1.99922180175781;-167.190582275391
-45;106;-1.94681549072266;-168.202377319336
-45;107;-1.90362167358398;-169.251281738281
-45;108;-1.84878540039062;-170.232879638672
-45;109;-1.81175231933594;-171.27555847168
-45;110;-1.7611198425293;-172.249481201172
-45;111;-1.72576141357422;-173.313217163086
-45;112;-1.67964553833008;-174.22607421875
-45;113;-1.63508987426758;-175.226745605469
-45;114;-1.59370422363281;-176.208084106445
-45;115;-1.55086898803711;-177.12060546875
-45;116;-1.50328063964844;-178.044845581055
-45;117;-1.45937728881836;-178.936111450195
-45;118;-1.41982269287109;-179.842803955078
-45;119;-1.37750625610352;179.235809326172
-45;120;-1.34160995483398;178.318283081055
-45;121;-1.30939102172852;177.409881591797
-45;122;-1.26494216918945;176.555938720703
-45;123;-1.23125457763672;175.678573608398
-45;124;-1.20350646972656;174.757568359375
-45;125;-1.16499710083008;173.88932800293
-45;126;-1.12351226806641;173.06867980957
-45;127;-1.09587860107422;172.184814453125
-45;128;-1.06045913696289;171.386474609375
-45;129;-1.0252799987793;170.539840698242
-45;130;-0.992221832275391;169.727584838867
-45;131;-0.960609436035156;168.90803527832
-45;132;-0.93017578125;168.099243164062
-45;133;-0.907024383544922;167.237350463867
-45;134;-0.880126953125;166.439971923828
-45;135;-0.850879669189453;165.660995483398
-45;136;-0.830142974853516;164.800430297852
-45;137;-0.805049896240234;164.042098999023
-45;138;-0.779579162597656;163.236801147461
-45;139;-0.757900238037109;162.479034423828
-45;140;-0.737400054931641;161.640563964844
-45;141;-0.713680267333984;160.869003295898
-45;142;-0.704025268554687;160.093688964844
-45;143;-0.679168701171875;159.356018066406
-45;144;-0.659114837646484;158.551147460937
-45;145;-0.643939971923828;157.816360473633
-45;146;-0.62646484375;157.019027709961
-45;147;-0.620265960693359;156.29768371582
-45;148;-0.606613159179687;155.511840820312
-45;149;-0.588050842285156;154.710311889648
-45;150;-0.577033996582031;154.030914306641
-45;151;-0.591686248779297;153.154067993164
-45;152;-0.574680328369141;152.275924682617
-45;153;-0.553993225097656;151.792373657227
-45;154;-0.558055877685547;150.989532470703
-45;155;-0.549701690673828;150.291625976562
-45;156;-0.551685333251953;149.404235839844
-45;157;-0.540782928466797;148.698944091797
-45;158;-0.53729248046875;147.926528930664
-45;159;-0.553451538085937;147.205108642578
-45;160;-0.532741546630859;146.493286132812
-45;161;-0.534751892089844;145.710098266602
-45;162;-0.542263031005859;144.816680908203
-45;163;-0.528160095214844;144.11979675293
-45;164;-0.537803649902344;143.268600463867
-45;165;-0.56781005859375;142.607894897461
-45;166;-0.541084289550781;141.85578918457
-45;167;-0.5579833984375;141.205993652344
-45;168;-0.574508666992187;140.374816894531
-45;169;-0.559078216552734;139.601089477539
-45;170;-0.560226440429687;138.869094848633
-45;171;-0.631206512451172;138.037445068359
-45;172;-0.580615997314453;137.287368774414
-45;173;-0.581809997558594;136.58854675293
-45;174;-0.576286315917969;135.871734619141
-45;175;-0.591678619384766;135.03271484375
-45;176;-0.604015350341797;134.302230834961
-45;177;-0.640678405761719;133.457824707031
-45;178;-0.626052856445312;132.751007080078
-45;179;-0.640892028808594;131.969543457031
-45;180;-0.651931762695312;131.160629272461
